id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CHRNB4	10	0.039846	0.073329	0.977407	83	1	6.3049	0.46665	0.8963	0.99982	1018	9	6.3049
CSF2RB	10	0.04062	0.074514	0.977407	84	1	6.8019	0.32773	0.78388	0.99982	868	9	6.8019
KDM5C	10	0.041604	0.076034	0.977407	85	2	7.0602	0.35376	0.80988	0.99982	905	9	7.0602
BDKRB2	10	0.042167	0.077019	0.977407	86	1	7.8282	0.093964	0.37474	0.951861	432	9	7.8282
ADRA2B	10	0.04294	0.078251	0.977407	87	2	6.9119	0.041462	0.20147	0.909795	242	9	6.9119
MRM1	21	0.043777	0.10282	0.977407	88	1	7.5718	0.02973	0.21342	0.909795	185	20	7.5718
MMP2	10	0.044015	0.079868	0.977407	89	2	7.2584	0.030066	0.15517	0.901153	192	9	7.2584
PHF20	10	0.044202	0.080188	0.977407	90	2	6.9494	0.3631	0.81821	0.99982	920	9	6.9494
MR1	10	0.044767	0.081005	0.977407	91	2	5.5903	0.31626	0.77133	0.99982	860	9	5.5903
USP3	10	0.046025	0.082926	0.977407	92	2	4.6806	0.052168	0.24162	0.909795	285	9	4.6806
CYP11B1	10	0.046479	0.08359	0.977407	93	2	8.1057	0.029837	0.15437	0.901153	188	9	8.1057
MGC16025	10	0.047247	0.084791	0.977407	94	2	7.6709	0.21698	0.63658	0.9966	717	9	7.6709
THUMPD2	9	0.047888	0.083838	0.977407	95	2	7.0264	0.38091	0.81859	0.99982	946	9	7.0264
RNMTL1	20	0.047891	0.11031	0.977407	96	2	8.0016	0.0033671	0.034341	0.640239	46	19	8.0016
BLVRB	10	0.048333	0.086312	0.977407	97	1	7.1713	0.33659	0.79268	0.99982	885	9	7.1713
DRD1	10	0.0488	0.086968	0.977407	98	2	4.7165	0.79554	0.99165	0.99982	1191	9	4.7165
EPHA2	10	0.049583	0.088176	0.977407	99	2	5.8859	0.086067	0.35161	0.951861	408	9	5.8859
FTL	10	0.049869	0.088697	0.977407	100	1	7.3382	0.21931	0.64038	0.9966	720	9	7.3382
STAT3	26	0.049945	0.12319	0.977407	101	2	6.4205	0.43597	0.94283	0.99982	995	25	6.4205
DRD4	10	0.049976	0.088809	0.977407	102	2	6.2735	0.68944	0.97826	0.99982	1155	9	6.2735
MAP1A	10	0.050173	0.089065	0.977407	103	2	6.7351	0.084091	0.34579	0.951861	402	9	6.7351
ALKBH3	12	0.050338	0.092058	0.977407	104	2	6.581	0.11711	0.46225	0.983798	507	10	6.581
POLA1	10	0.050965	0.090177	0.977407	105	2	5.4723	0.907	0.99838	0.99982	1221	9	5.4723
CACNA1S	10	0.051402	0.090866	0.977407	106	1	7.1699	0.11386	0.42839	0.958256	500	9	7.1699
FGF2	10	0.052764	0.093083	0.977407	107	2	7.1622	0.33906	0.79518	0.99982	890	9	7.1622
PADI2	10	0.052934	0.093363	0.977407	108	1	7.703	0.14441	0.49897	0.983798	566	9	7.703
EDNRA	10	0.052965	0.093427	0.977407	109	2	6.7026	0.13922	0.48798	0.983798	553	9	6.7026
LacZ:2417-2436_LacZ_+	1	0.052993	0.053207	0.977407	110	0	2.4135	0.94701	0.9471	0.99982	1233	1	2.4135
CTRL0010	1	0.053234	0.053447	0.977407	111	0	1.8185	0.94677	0.94682	0.99982	1232	1	1.8185
CDY2A	10	0.055403	0.097317	0.977407	112	2	6.3379	0.67681	0.97565	0.99982	1147	9	6.3379
VWF	10	0.056638	0.099142	0.977407	113	2	7.2539	0.00027735	0.0021891	0.373987	7	10	7.2539
CACNA1D	10	0.057515	0.10036	0.977407	114	1	7.1516	0.14862	0.50855	0.983798	581	9	7.1516
CHD1	10	0.058276	0.10157	0.977407	115	1	6.9228	0.44682	0.88395	0.99982	1004	9	6.9228
MMP28	10	0.059037	0.10263	0.977407	116	1	6.6419	0.52729	0.92764	0.99982	1050	9	6.6419
LCK	10	0.059558	0.10336	0.977407	117	2	5.7318	0.53327	0.93016	0.99982	1054	9	5.7318
PRLR	10	0.060403	0.10459	0.977407	118	2	6.3823	0.33692	0.79307	0.99982	886	9	6.3823
PRKCA	10	0.060558	0.10486	0.977407	119	1	8.129	0.016981	0.095828	0.862718	120	9	8.129
luciferase:1293-1312_luciferase_-	1	0.060627	0.061243	0.977407	120	0	2.14	0.93937	0.93945	0.99982	1231	1	2.14
FGFR4	10	0.061317	0.10604	0.977407	121	2	6.4549	0.56759	0.94382	0.99982	1084	9	6.4549
BRD4	83	0.061416	0.20686	0.977407	122	6	6.9855	0.19842	0.83037	0.99982	685	79	6.9855
MMP10	10	0.062076	0.10718	0.977407	123	1	7.5457	0.0030727	0.021487	0.590649	43	9	7.5457
CDK2	10	0.062533	0.10786	0.977407	124	2	5.3653	0.67171	0.97438	0.99982	1145	10	5.3653
TADA1	10	0.062747	0.10819	0.977407	125	2	5.6776	0.31455	0.76925	0.99982	857	9	5.6776
PRMT3	10	0.063592	0.10945	0.977407	126	1	7.1532	0.070911	0.30533	0.926077	367	9	7.1532
MAP4	10	0.064349	0.11062	0.977407	127	1	7.4337	0.061553	0.27461	0.909795	329	9	7.4337
TBXA2R	10	0.064907	0.1114	0.977407	128	2	5.8172	0.5731	0.9457	0.99982	1090	9	5.8172
PHF2	10	0.065105	0.11175	0.977407	129	1	7.266	0.0044107	0.029747	0.630492	53	9	7.266
IKBKB	10	0.067313	0.1153	0.977407	130	2	6.767	0.42256	0.86737	0.99982	984	9	6.767
F8	10	0.067975	0.11624	0.977407	131	2	8.0743	0.03363	0.17034	0.909795	206	10	8.0743
MAP3K7	10	0.069305	0.11828	0.977407	132	2	6.2093	0.37151	0.82608	0.99982	930	9	6.2093
CACNA1B	10	0.069633	0.11884	0.977407	133	1	6.2902	0.0052107	0.034677	0.640239	62	9	6.2902
PRMT6	68	0.070952	0.21471	0.977407	134	5	7.2596	0.12656	0.69641	0.99982	523	65	7.2596
SLC52A2	10	0.071318	0.12133	0.977407	135	2	6.1502	0.41253	0.85986	0.99982	973	9	6.1502
NACC2	10	0.07189	0.12207	0.977407	136	1	6.757	0.55652	0.93957	0.99982	1072	9	6.757
DOT1L	10	0.071993	0.12221	0.977407	137	2	6.6536	0.53612	0.93137	0.99982	1057	9	6.6536
CD274	25	0.072669	0.16285	0.977407	138	2	6.329	0.068829	0.41336	0.951861	358	23	6.329
LacZ:1578-1597_LacZ_-	1	0.073082	0.073657	0.977407	139	0	2.7646	0.92692	0.92741	0.99982	1229	1	2.7646
VRK1	10	0.073391	0.12431	0.977407	140	1	6.7074	0.13088	0.46976	0.983798	531	9	6.7074
BCR	10	0.074891	0.12651	0.977407	141	1	7.0875	0.36115	0.81648	0.99982	918	9	7.0875
PLAT	10	0.075404	0.12734	0.977407	142	2	6.5939	0.16233	0.53785	0.988637	613	9	6.5939
HMGA2	10	0.07564	0.12768	0.977407	143	1	6.6934	0.14033	0.4904	0.983798	555	9	6.6934
PRMT1	21	0.076293	0.16303	0.977407	144	3	5.8932	0.73909	0.99344	0.99982	1179	20	5.8932
FCGR1A	10	0.076784	0.12934	0.977407	145	2	7.59	0.061009	0.27277	0.909795	326	9	7.59
PGF	10	0.077136	0.12983	0.977407	146	1	6.7796	0.28794	0.73746	0.99982	820	9	6.7796
PRDM14	10	0.077246	0.13001	0.977407	147	2	7.5253	0.23281	0.66157	0.99982	745	10	7.5253
GABBR1	10	0.077883	0.13097	0.977407	148	1	6.9869	0.13098	0.47002	0.983798	532	9	6.9869
SIRT2	10	0.079376	0.13317	0.977407	149	1	7.6646	0.076173	0.32111	0.939038	377	9	7.6646
KCNJ12	10	0.080867	0.13535	0.977407	150	1	5.3078	0.13425	0.47715	0.983798	541	9	5.3078
GLRA3	10	0.081611	0.13654	0.977407	151	1	6.3249	0.26328	0.70493	0.99982	784	9	6.3249
TAF6L	10	0.082355	0.13767	0.977407	152	1	6.8947	0.41444	0.86137	0.99982	977	9	6.8947
CTRL0039	1	0.082483	0.08303	0.977407	153	0	2.7052	0.91752	0.91809	0.99982	1228	1	2.7052
CSRP2BP	10	0.082625	0.13799	0.977407	154	2	7.5403	0.16604	0.54513	0.9905	620	9	7.5403
SCN4A	10	0.082861	0.13843	0.977407	155	2	7.2356	0.31455	0.76926	0.99982	858	10	7.2356
GRIN2A	10	0.083099	0.13884	0.977407	156	1	6.4983	0.39368	0.84541	0.99982	958	9	6.4983
CD33	10	0.083335	0.13916	0.977407	157	2	7.096	0.057761	0.262	0.909795	309	9	7.096
GABRB3	10	0.083573	0.13949	0.977407	158	2	6.382	0.68956	0.97827	0.99982	1156	9	6.382
VPRBP	10	0.08381	0.13975	0.977407	159	2	4.9308	0.63235	0.96466	0.99982	1128	10	4.9308
luciferase:1551-1570_luciferase_+	1	0.08634	0.086656	0.977407	160	0	2.7693	0.91366	0.91422	0.99982	1225	1	2.7693
HTR6	10	0.086808	0.1438	0.977407	161	1	5.9889	0.37501	0.82915	0.99982	934	9	5.9889
C10orf54	36	0.087198	0.20985	0.977407	162	2	6.2413	0.49185	0.96731	0.99982	1033	35	6.2413
ING5	10	0.087548	0.14422	0.977407	163	1	5.4661	0.55774	0.94013	0.99982	1073	9	5.4661
CACNB3	10	0.088288	0.14467	0.977407	164	1	6.6387	0.12388	0.45289	0.983798	515	9	6.6387
ABCC1	10	0.089027	0.14521	0.977407	165	1	7.816	0.006776	0.04357	0.663185	75	9	7.816
CTRL0029	1	0.090277	0.090314	0.977407	166	0	3.1239	0.90972	0.91039	0.99982	1223	1	3.1239
SIRT6	10	0.090503	0.14637	0.977407	167	1	6.2182	0.68228	0.97682	0.99982	1151	9	6.2182
CTRL0041	1	0.090518	0.090594	0.977407	168	0	3.4797	0.90948	0.91017	0.99982	1222	1	3.4797
NSUN5P1	11	0.092638	0.15195	0.977407	169	1	5.9607	0.72746	0.9872	0.99982	1175	10	5.9607
SUV39H1	10	0.092714	0.14778	0.977407	170	1	7.9572	0.086173	0.35199	0.951861	409	9	7.9572
LacZ:1588-1607_LacZ_-	1	0.093813	0.093931	0.977407	171	0	3.9682	0.90619	0.90698	0.99982	1220	1	3.9682
CACNA1H	10	0.094186	0.14876	0.977407	172	1	5.3383	0.78572	0.99088	0.99982	1188	9	5.3383
CTRL0009	1	0.095581	0.095804	0.977407	173	0	3.7911	0.90442	0.90524	0.99982	1218	1	3.7911
FADS1	10	0.095655	0.14985	0.977407	174	1	7.3525	0.14819	0.50769	0.983798	578	9	7.3525
HCRTR2	10	0.096388	0.15042	0.977407	175	1	6.1092	0.33311	0.78911	0.99982	880	9	6.1092
TRMT10A	26	0.09654	0.19918	0.977407	176	1	7.2245	0.27207	0.83114	0.99982	801	25	7.2245
POLB	10	0.097854	0.15153	0.977407	177	1	7.0346	0.45763	0.89085	0.99982	1012	9	7.0346
LacZ:104-123_LacZ_+	1	0.098875	0.099278	0.977407	178	0	4.1394	0.90112	0.90196	0.99982	1217	1	4.1394
KDM4B	10	0.099318	0.15266	0.977407	179	1	6.3584	0.14425	0.49865	0.983798	565	9	6.3584
CACNB1	10	0.10005	0.15315	0.977407	180	1	5.4661	0.67762	0.97581	0.99982	1148	9	5.4661
AURKB	10	0.1037	0.15588	0.977407	181	1	5.0571	0.7978	0.99182	0.99982	1193	9	5.0571
RPS6KA5	10	0.10442	0.1564	0.977407	182	1	7.8055	0.039904	0.19523	0.909795	238	9	7.8055
PPARA	10	0.10515	0.15687	0.977407	183	1	6.9972	0.33078	0.78667	0.99982	877	9	6.9972
CRTC2	10	0.10588	0.15755	0.977407	184	1	7.6258	0.083661	0.34468	0.951861	399	9	7.6258
LacZ:1843-1862_LacZ_-	1	0.10627	0.1067	0.977407	185	0	3.4587	0.89373	0.89467	0.99982	1216	1	3.4587
MAVS	95	0.1064	0.31312	0.977407	186	3	7.2195	0.033967	0.36052	0.951861	208	93	7.2195
TRPM8	10	0.1066	0.15808	0.977407	187	1	7.7511	0.15576	0.52404	0.983798	599	9	7.7511
KDM6B	10	0.10878	0.1597	0.977407	188	1	6.7235	0.061677	0.27509	0.909795	331	9	6.7235
MC2R	10	0.1095	0.16009	0.977407	189	1	8.1071	0.049631	0.23247	0.909795	268	9	8.1071
WDR92	10	0.1124	0.1621	0.977407	190	1	7.1873	0.14507	0.50038	0.983798	568	9	7.1873
ALKBH8	28	0.11332	0.22934	0.977407	191	3	7.7813	0.0016158	0.021247	0.590649	27	27	7.7813
KDM3A	10	0.11456	0.16335	0.977407	192	1	6.3	0.27321	0.71803	0.99982	804	9	6.3
PTGER1	10	0.11528	0.16383	0.977407	193	1	6.0741	0.3592	0.81468	0.99982	914	9	6.0741
HCAR3	10	0.11744	0.16532	0.977407	194	1	7.2194	0.061876	0.27581	0.909795	335	9	7.2194
ADORA1	10	0.11815	0.16582	0.977407	195	1	8.7029	0.0013426	0.009945	0.492193	24	9	8.7029
CYSLTR2	10	0.11887	0.16628	0.977407	196	1	6.0581	0.2304	0.65798	0.99982	742	9	6.0581
PLA2G1B	10	0.11959	0.16669	0.977407	197	1	7.8461	0.01159	0.069183	0.816225	96	9	7.8461
CTRL0002	1	0.12121	0.12168	0.977407	198	0	3.8578	0.87879	0.87946	0.99982	1213	1	3.8578
METTL14	13	0.1216	0.19289	0.977407	199	1	7.4305	0.1316	0.51076	0.983798	534	12	7.4305
YTHDC2	39	0.12222	0.2751	0.977407	200	4	7.7562	0.0062728	0.079588	0.839645	70	37	7.7562
luciferase:1410-1429_luciferase_+	1	0.12298	0.12355	0.977407	201	0	4.1163	0.87702	0.87762	0.99982	1211	1	4.1163
PPP5C	10	0.12316	0.16935	0.977407	202	1	5.2912	0.46634	0.89612	0.99982	1017	9	5.2912
CTRL0085	1	0.12579	0.12624	0.977407	203	0	4.6186	0.87421	0.87485	0.99982	1210	1	4.6186
MMP13	10	0.12673	0.17212	0.977407	204	1	6.8008	0.27539	0.72091	0.99982	808	9	6.8008
GABRR1	10	0.12744	0.17266	0.977407	205	1	7.9151	0.098602	0.38756	0.951861	453	9	7.9151
CDK4	10	0.12886	0.17372	0.977407	206	1	3.9698	0.87714	0.99707	0.99982	1212	9	3.9698
SRD5A2	10	0.13028	0.1748	0.977407	207	1	7.1713	0.34104	0.79732	0.99982	892	9	7.1713
LacZ:1049-1068_LacZ_-	1	0.13086	0.13115	0.977407	208	0	4.2181	0.86914	0.86984	0.99982	1209	1	4.2181
GRIK1	10	0.13169	0.1759	0.977407	209	1	5.6655	0.68987	0.97834	0.99982	1157	9	5.6655
SCNN1D	10	0.13311	0.17704	0.977407	210	1	7.4513	0.16326	0.53956	0.988801	616	9	7.4513
AAVS	100	0.13345	0.37106	0.977407	211	7	6.9046	0.0099315	0.15306	0.901153	89	95	6.9046
KCNA5	10	0.13381	0.17749	0.977407	212	1	6.3032	0.34706	0.8034	0.99982	898	9	6.3032
SERPIND1	10	0.13734	0.18	0.977407	213	1	6.4848	0.31747	0.7727	0.99982	862	9	6.4848
CA7	10	0.13804	0.18045	0.977407	214	1	6.2287	0.41007	0.85813	0.99982	969	9	6.2287
SLC12A2	10	0.13874	0.1809	0.977407	215	1	5.7942	0.66538	0.97296	0.99982	1141	9	5.7942
ADORA3	10	0.13945	0.18151	0.977407	216	1	7.1269	0.30372	0.75699	0.99982	845	9	7.1269
CTRL0049	1	0.13986	0.13997	0.977407	217	0	4.267	0.86014	0.86104	0.99982	1208	1	4.267
CTRL0061	1	0.14194	0.14209	0.977407	218	0	4.0062	0.85806	0.85889	0.99982	1207	1	4.0062
RPL19	10	0.14295	0.18391	0.977407	219	1	6.8833	0.4287	0.87176	0.99982	987	9	6.8833
LacZ:1629-1648_LacZ_-	1	0.14315	0.14339	0.977407	220	0	4.2791	0.85685	0.85758	0.99982	1206	1	4.2791
PDE8A	10	0.14435	0.18499	0.977407	221	1	6.7168	0.60659	0.95686	0.99982	1109	9	6.7168
LacZ:2007-2026_LacZ_+	1	0.14717	0.14699	0.977407	222	0	4.0978	0.85283	0.85333	0.99982	1204	1	4.0978
luciferase:1224-1243_luciferase_+	1	0.14725	0.1471	0.977407	223	0	4.7469	0.85275	0.85324	0.99982	1203	1	4.7469
TAF1L	10	0.14853	0.18799	0.977407	224	1	6.1488	0.45844	0.89128	0.99982	1013	9	6.1488
HDAC3	10	0.14922	0.18844	0.977407	225	1	7.0184	0.32596	0.7818	0.99982	866	9	7.0184
GANAB	10	0.14992	0.18887	0.977407	226	1	6.888	0.034795	0.17484	0.909795	212	9	6.888
JAK3	10	0.1513	0.18988	0.977407	227	1	5.6342	0.72512	0.98474	0.99982	1172	9	5.6342
KCNC3	10	0.15269	0.19092	0.977407	228	1	7.3124	0.16632	0.54566	0.9905	622	9	7.3124
HDAC9	10	0.15338	0.19138	0.977407	229	1	7.4923	0.088178	0.35803	0.951861	415	9	7.4923
BRCA2	10	0.15407	0.192	0.977407	230	1	5.5958	0.5755	0.94663	0.99982	1092	9	5.5958
CTRL0055	1	0.15512	0.15449	0.977407	231	0	4.4544	0.84488	0.84566	0.99982	1202	1	4.4544
KIAA1456	81	0.15647	0.38323	0.977407	232	5	7.458	0.00057793	0.013579	0.57793	12	78	7.458
LacZ:1542-1561_LacZ_-	1	0.15713	0.15645	0.977407	233	0	4.8927	0.84287	0.84373	0.99982	1201	1	4.8927
CTRL0023	1	0.15769	0.15719	0.977407	234	0	4.3412	0.84231	0.84322	0.99982	1200	1	4.3412
JADE3	10	0.15821	0.19501	0.977407	235	1	5.3342	0.89006	0.99776	0.99982	1215	9	5.3342
VKORC1	10	0.1589	0.19565	0.977407	236	1	7.3068	0.10824	0.41398	0.951861	486	9	7.3068
FDPS	10	0.16027	0.19651	0.977407	237	1	7.1783	0.37854	0.83232	0.99982	940	9	7.1783
TRMT2B	30	0.16102	0.30145	0.977407	238	3	6.9429	0.41666	0.94039	0.99982	980	29	6.9429
IL3RA	10	0.16165	0.19743	0.977407	239	1	7.5996	0.029668	0.15366	0.901153	184	9	7.5996
SYT2	10	0.16233	0.19801	0.977407	240	1	8.0663	0.016866	0.095212	0.862718	118	9	8.0663
GLRA2	10	0.1637	0.19907	0.977407	241	1	5.8278	0.051164	0.23796	0.909795	278	9	5.8278
SCNN1G	10	0.16643	0.20113	0.977407	242	1	6.9824	0.43095	0.87313	0.99982	990	9	6.9824
