sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TRMT61A_11496	TRMT61A	0/0	3047.7/2.9127/2493.7	0.37866	2493.7	10.821	0	0.61071	3190.5	1	0	0	0	True
GSK3A_4414	GSK3A	0/2.2719	41.522/4887.4/15529	1.136	4887.4	11.16	2.5809	2.3474	3189.3	1	0	0	0	True
PARP2_7932	PARP2	0/1.5146	32167/16.02/3791	0.75731	3791	11.075	1.147	1.4156	3185.7	1	0	0	0	True
CYP51A1_2800	CYP51A1	0.85451/2.2719	411.66/5774.3/6620.5	1.5632	5774.3	11.138	1.0046	3.5214	3076.3	1	0	0	0	True
PRMT6_8771	PRMT6	0/0.75731	2382.2/257.77/2552.9	0.37866	2382.2	10.755	0.28676	0.61071	3047.8	1	0	0	0	True
TGS1_10929	TGS1	0/0	0/2373.8/2848.9	0.37866	2373.8	10.75	0	0.61071	3037.1	1	0	0	0	True
YTHDC2_12319	YTHDC2	0/1.5146	3575.6/5700.1/1052.4	0.75731	3575.6	10.991	1.147	1.4156	3004.6	1	0	0	0	True
LHCGR_6382	LHCGR	0.85451/0	10.677/3723.8/2493.7	0.42725	2493.7	10.771	0.36509	0.70553	2968.3	1	0	0	0	True
RNMT_9297	RNMT	0/0.75731	2286.1/4417/7.1452	0.37866	2286.1	10.696	0.28676	0.61071	2924.8	1	0	0	0	True
FTO_3841	FTO	0/0	2257.6/5225.3/692.06	0.37866	2257.6	10.678	0	0.61071	2888.4	1	0	0	0	True
F10_3405	F10	0/0.75731	2191.2/235.92/2344.6	0.37866	2191.2	10.635	0.28676	0.61071	2803.4	1	0	0	0	True
TGS1_10916	TGS1	0/0	0/3222.8/2167	0.37866	2167	10.619	0	0.61071	2772.5	1	0	0	0	True
KIAA1456_6155	KIAA1456	0/0	3513.9/43.69/2121.1	0.37866	2121.1	10.588	0	0.61071	2713.7	1	0	0	0	True
CTRL0083_2721	CTRL0083	0/1.5146	3226.8/13.107/4248.3	0.75731	3226.8	10.843	1.147	1.4156	2711.5	1	0	0	0	True
IL6_5169	IL6	0/1.5146	3215/10.194/3599.1	0.75731	3215	10.838	1.147	1.4156	2701.5	1	0	0	0	True
CD276_1975	CD276	0/0	1971.7/2065.1/0	0.37866	1971.7	10.483	0	0.61071	2522.5	1	0	0	0	True
ADRA2C_370	ADRA2C	0/1.5146	3676.4/2982.6/0	0.75731	2982.6	10.729	1.147	1.4156	2506.2	1	0	0	0	True
PARP2_7933	PARP2	0/1.5146	2921.9/23108/1047.3	0.75731	2921.9	10.7	1.147	1.4156	2455.2	1	0	0	0	True
PNLIP_8377	PNLIP	0/1.5146	3537.6/2.9127/2692.7	0.75731	2692.7	10.582	1.147	1.4156	2262.6	1	0	0	0	True
PDE7B_8108	PDE7B	0/6.0585	6495.2/59.709/11620	3.0293	6495.2	10.655	18.353	8.3262	2249.9	1	0	0	0	True
TARBP1_10766	TARBP1	0/1.5146	2651.4/11463/749.22	0.75731	2651.4	10.56	1.147	1.4156	2227.9	1	0	0	0	True
PRDM4_8569	PRDM4	0/0	567.07/5569/1726.1	0.37866	1726.1	10.291	0	0.61071	2208.2	1	0	0	0	True
MAOB_6469	MAOB	0.85451/0	2027.4/164.56/1783.2	0.42725	1783.2	10.288	0.36509	0.70553	2122.5	1	0	0	0	True
IFNAR2_5022	IFNAR2	0.85451/0	52.199/2558.8/1768.9	0.42725	1768.9	10.276	0.36509	0.70553	2105.5	1	0	0	0	True
MMP12_6965	MMP12	0/0.75731	2510.3/18.932/1639.3	0.37866	1639.3	10.216	0.28676	0.61071	2097.2	1	0	0	0	True
CKB_2396	CKB	0/0	1626.5/1.019e+05/13.27	0.37866	1626.5	10.205	0	0.61071	2080.8	1	0	0	0	True
CTRL0088_2726	CTRL0088	0/1.5146	17329/16.02/2431.4	0.75731	2431.4	10.435	1.147	1.4156	2042.9	1	0	0	0	True
CA7_1596	CA7	0/0	3276.6/66.991/1578.1	0.37866	1578.1	10.162	0	0.61071	2018.8	1	0	0	0	True
BRD4_1257	BRD4	0/0	83.043/9137/1570.9	0.37866	1570.9	10.155	0	0.61071	2009.7	1	0	0	0	True
KDM2A_5892	KDM2A	0.85451/2.2719	3674.1/346.61/6019.3	1.5632	3674.1	10.486	1.0046	3.5214	1957.1	1	0	0	0	True
SETD1B_9852	SETD1B	0/1.5146	2318.1/13.107/4040.1	0.75731	2318.1	10.366	1.147	1.4156	1947.7	1	0	0	0	True
YTHDF3_12448	YTHDF3	0/2.2719	3778.5/83.011/2916.2	1.136	2916.2	10.415	2.5809	2.3474	1902.7	1	0	0	0	True
TFPI_10910	TFPI	0/0.75731	1904.1/1473.8/477.7	0.37866	1473.8	10.063	0.28676	0.61071	1885.4	1	0	0	0	True
RXRB_9544	RXRB	0/0	37.963/3694.7/1452.5	0.37866	1452.5	10.042	0	0.61071	1858.2	1	0	0	0	True
FCGR2C_3585	FCGR2C	0/0.75731	1449.7/10622/1.0207	0.37866	1449.7	10.039	0.28676	0.61071	1854.6	1	0	0	0	True
NSUN4_7660	NSUN4	0/0	597.91/1954.4/1448.4	0.37866	1448.4	10.038	0	0.61071	1853	1	0	0	0	True
CSF2RB_2575	CSF2RB	0.85451/0	0/1516/3490.9	0.42725	1516	10.054	0.36509	0.70553	1804.4	1	0	0	0	True
YES1_12225	YES1	3.418/0	149.48/7536.5/3558.3	1.709	3558.3	10.36	5.8415	3.9482	1789.9	1	0	0	0	True
PDGFRB_8142	PDGFRB	0/4.5439	4232.8/955.35/6364.3	2.2719	4232.8	10.338	10.323	5.7083	1770.7	1	0	0	0	True
MEN1_6757	MEN1	0/0.75731	1360.7/10305/68.389	0.37866	1360.7	9.948	0.28676	0.61071	1740.7	1	0	0	0	True
HBB_4493	HBB	0/1.5146	2035.7/2.9127/4214.6	0.75731	2035.7	10.179	1.147	1.4156	1710.4	1	0	0	0	True
IKBKB_5074	IKBKB	0/0	1335.8/1.4563/1333.1	0.37866	1333.1	9.9184	0	0.61071	1705.4	1	0	0	0	True
ELP3_3174	ELP3	0.85451/2.2719	7606.8/428.16/3148	1.5632	3148	10.263	1.0046	3.5214	1676.7	1	0	0	0	True
NSUN2_7602	NSUN2	0/0.75731	427.08/1291.8/3901.3	0.37866	1291.8	9.873	0.28676	0.61071	1652.5	1	0	0	0	True
NSUN4_7683	NSUN4	0/0.75731	3153.3/24.758/1290.2	0.37866	1290.2	9.8712	0.28676	0.61071	1650.5	1	0	0	0	True
RING1_9215	RING1	0/0	104.4/1277.2/1446.4	0.37866	1277.2	9.8566	0	0.61071	1633.8	1	0	0	0	True
FCGR2A_3570	FCGR2A	0/0	1271.7/2502/43.892	0.37866	1271.7	9.8505	0	0.61071	1626.9	1	0	0	0	True
PLA2G4A_8290	PLA2G4A	0/0	1911.2/64.078/1270.8	0.37866	1270.8	9.8494	0	0.61071	1625.7	1	0	0	0	True
ATF2_914	ATF2	0/0.75731	0/1265.5/3545	0.37866	1265.5	9.8434	0.28676	0.61071	1618.9	1	0	0	0	True
FTO_3847	FTO	0/0	1248/1.4563/1345.3	0.37866	1248	9.8233	0	0.61071	1596.5	1	0	0	0	True
THUMPD3_10995	THUMPD3	0.85451/0.75731	1948/14.563/2652.9	0.80591	1948	10.076	0.0047234	1.5287	1574.8	1	0	0	0	True
NR3C1_7572	NR3C1	0/1.5146	8.3043/2292.3/1867.9	0.75731	1867.9	10.055	1.147	1.4156	1569.4	1	0	0	0	True
NR3C2_7588	NR3C2	0.85451/0.75731	1940.8/4.369/7201.3	0.80591	1940.8	10.07	0.0047234	1.5287	1569.1	1	0	0	0	True
CTRL0035_2673	CTRL0035	0/0.75731	1205.3/1352.9/71.452	0.37866	1205.3	9.7731	0.28676	0.61071	1541.9	1	0	0	0	True
ALOX5_621	ALOX5	0/0	1202.9/36520/288.87	0.37866	1202.9	9.7703	0	0.61071	1538.8	1	0	0	0	True
IL11RA_5084	IL11RA	0.85451/0	1281.2/18079/152.09	0.42725	1281.2	9.8112	0.36509	0.70553	1524.8	1	0	0	0	True
RYBP_9569	RYBP	0/0	1787.8/177.67/1190.2	0.37866	1190.2	9.7549	0	0.61071	1522.5	1	0	0	0	True
KMT2E_6260	KMT2E	0.85451/0.75731	1958.6/1881.6/111.26	0.80591	1881.6	10.026	0.0047234	1.5287	1521.1	1	0	0	0	True
RYBP_9568	RYBP	0/12.874	7248.5/40.777/60151	6.4372	7248.5	9.9289	82.874	22.898	1513.4	1	0	0	0	True
BCL2_1118	BCL2	0/0.75731	13.05/1181.1/9753.1	0.37866	1181.1	9.7438	0.28676	0.61071	1510.8	1	0	0	0	True
CTRL0012_2650	CTRL0012	0/1.5146	194.56/3039.4/1796.5	0.75731	1796.5	9.9984	1.147	1.4156	1509.3	1	0	0	0	True
PRMT3_8733	PRMT3	0/0	1167.3/1899/178.63	0.37866	1167.3	9.727	0	0.61071	1493.3	1	0	0	0	True
F2_3418	F2	0.85451/0	1252.8/80.098/1333.1	0.42725	1252.8	9.7788	0.36509	0.70553	1491	1	0	0	0	True
IL2RB_5134	IL2RB	0/0.75731	1151.9/2772.8/30.622	0.37866	1151.9	9.7078	0.28676	0.61071	1473.5	1	0	0	0	True
PRMT6_8785	PRMT6	0/0.75731	18.981/1150.5/20177	0.37866	1150.5	9.706	0.28676	0.61071	1471.7	1	0	0	0	True
YTHDF3_12446	YTHDF3	0/0	115.07/1150.5/3299	0.37866	1150.5	9.706	0	0.61071	1471.7	1	0	0	0	True
LacZ:1987-2006_LacZ_-_6313	LacZ:1987-2006_LacZ_-	0/0.75731	24.913/1147.6/67748	0.37866	1147.6	9.7024	0.28676	0.61071	1468	1	0	0	0	True
LacZ:1241-1260_LacZ_+_6276	LacZ:1241-1260_LacZ_+	0/0	1127/0/1428	0.37866	1127	9.6763	0	0.61071	1441.7	1	0	0	0	True
XDH_12198	XDH	0/0.75731	22.54/1124.3/3923.7	0.37866	1124.3	9.6728	0.28676	0.61071	1438.2	1	0	0	0	True
PRKCB_8683	PRKCB	0/0.75731	59.317/3825.8/1120.8	0.37866	1120.8	9.6683	0.28676	0.61071	1433.7	1	0	0	0	True
SCN9A_9734	SCN9A	0/1.5146	272.86/1779.6/1701.6	0.75731	1701.6	9.9201	1.147	1.4156	1429.5	1	0	0	0	True
MME_6923	MME	0/0.75731	1099.7/120.88/4409.6	0.37866	1099.7	9.641	0.28676	0.61071	1406.8	1	0	0	0	True
SUZ12_10593	SUZ12	0.85451/0	1153.1/927.68/2030.2	0.42725	1153.1	9.6593	0.36509	0.70553	1372.3	1	0	0	0	True
LEO1_6367	LEO1	0.85451/0.75731	3135.5/361.17/1688.3	0.80591	1688.3	9.8695	0.0047234	1.5287	1364.8	1	0	0	0	True
ALKBH5_561	ALKBH5	0/0.75731	468.6/1063.1/3274.5	0.37866	1063.1	9.5922	0.28676	0.61071	1359.9	1	0	0	0	True
HTR3A_4922	HTR3A	0/0.75731	1052.3/420.88/1183	0.37866	1052.3	9.5774	0.28676	0.61071	1346	1	0	0	0	True
DPP4_2954	DPP4	0/0	22.54/1386.4/1047.3	0.37866	1047.3	9.5705	0	0.61071	1339.6	1	0	0	0	True
F8_3462	F8	0/0	400.98/1039.8/23018	0.37866	1039.8	9.5602	0	0.61071	1330.1	1	0	0	0	True
CHRNA3_2343	CHRNA3	0/0.75731	1549.3/1034/6.1244	0.37866	1034	9.5521	0.28676	0.61071	1322.6	1	0	0	0	True
CD86_2090	CD86	0/0.75731	698.75/1032.5/2998.9	0.37866	1032.5	9.5501	0.28676	0.61071	1320.8	1	0	0	0	True
F2R_3434	F2R	0.85451/0	2698.9/1109.7/277.64	0.42725	1109.7	9.604	0.36509	0.70553	1320.7	1	0	0	0	True
TNFSF13B_11068	TNFSF13B	0/0.75731	1030.9/776.22/1191.2	0.37866	1030.9	9.5479	0.28676	0.61071	1318.7	1	0	0	0	True
ATP6V1B2_966	ATP6V1B2	0/1.5146	1568.3/1770.9/13.27	0.75731	1568.3	9.8026	1.147	1.4156	1317.5	1	0	0	0	True
TYW3_11719	TYW3	0/1.5146	1562.4/27.67/9952.2	0.75731	1562.4	9.7971	1.147	1.4156	1312.5	1	0	0	0	True
BAZ1A_1081	BAZ1A	0.85451/0	1097.4/68.447/1213.7	0.42725	1097.4	9.5879	0.36509	0.70553	1305.9	1	0	0	0	True
DRD3_3011	DRD3	0/2.2719	1965.7/5618.5/86.763	1.136	1965.7	9.8467	2.5809	2.3474	1282.3	1	0	0	0	True
NSUN4_7667	NSUN4	0/0.75731	13.05/1.1047e+05/995.22	0.37866	995.22	9.4971	0.28676	0.61071	1273	1	0	0	0	True
SERPINE1_9837	SERPINE1	0.85451/3.0293	3619.5/2708.8/559.36	1.9419	2708.8	9.8472	2.3648	4.6555	1254.5	1	0	0	0	True
USP28_11872	USP28	0/0.75731	1294.3/972.83/0	0.37866	972.83	9.4643	0.28676	0.61071	1244.4	1	0	0	0	True
KDM3A_5985	KDM3A	0/0	965.67/34.952/37326	0.37866	965.67	9.4536	0	0.61071	1235.2	1	0	0	0	True
TACR1_10634	TACR1	0/1.5146	1826.9/1462.2/184.75	0.75731	1462.2	9.7015	1.147	1.4156	1228.3	1	0	0	0	True
PAH_7906	PAH	0.85451/0.75731	12028/1510.2/741.06	0.80591	1510.2	9.7088	0.0047234	1.5287	1220.8	1	0	0	0	True
RARB_9104	RARB	0/0	45.081/946.61/6809.3	0.37866	946.61	9.4249	0	0.61071	1210.8	1	0	0	0	True
NISCH_7461	NISCH	0/0	941.95/0/1281	0.37866	941.95	9.4178	0	0.61071	1204.8	1	0	0	0	True
IDE_4987	IDE	0/2.2719	2860.2/1836.4/563.45	1.136	1836.4	9.7486	2.5809	2.3474	1197.9	1	0	0	0	True
SALL1_9597	SALL1	0/0	0/12823/917.64	0.37866	917.64	9.3801	0	0.61071	1173.7	1	0	0	0	True
TUBA1A_11590	TUBA1A	0/0.75731	1826.9/916.03/0	0.37866	916.03	9.3776	0.28676	0.61071	1171.7	1	0	0	0	True
P2RX4_7845	P2RX4	0/0.75731	2.3727/916.03/3392.9	0.37866	916.03	9.3776	0.28676	0.61071	1171.7	1	0	0	0	True
EHMT1_3102	EHMT1	0/0.75731	900.42/1066/45.933	0.37866	900.42	9.3528	0.28676	0.61071	1151.7	1	0	0	0	True
ADA_220	ADA	0/0.75731	2816.3/897.1/33.684	0.37866	897.1	9.3475	0.28676	0.61071	1147.5	1	0	0	0	True
AR_755	AR	0/0	2051.2/0/892.12	0.37866	892.12	9.3395	0	0.61071	1141.1	1	0	0	0	True
ASXL1_904	ASXL1	0/0	890.93/267.96/4774	0.37866	890.93	9.3375	0	0.61071	1139.6	1	0	0	0	True
MSL2_7265	MSL2	4.2725/0	3112.9/2.9127/2609	2.1363	2609	9.7008	9.1273	5.2686	1135.7	1	0	0	0	True
ALKBH8_599	ALKBH8	3.418/0	30.845/2245.7/13344	1.709	2245.7	9.6958	5.8415	3.9482	1129.3	1	0	0	0	True
GABRR2_4118	GABRR2	0/0	880.26/7.2816/1574	0.37866	880.26	9.3202	0	0.61071	1125.9	1	0	0	0	True
CDKAL1_2159	CDKAL1	0/0	193.37/876.71/1081	0.37866	876.71	9.3143	0	0.61071	1121.4	1	0	0	0	True
OXTR_7843	OXTR	0/0	1301.4/873.8/132.7	0.37866	873.8	9.3095	0	0.61071	1117.6	1	0	0	0	True
HNRNPA2B1_4748	HNRNPA2B1	0/0	1238.5/432.53/870.69	0.37866	870.69	9.3044	0	0.61071	1113.7	1	0	0	0	True
RNF2_9235	RNF2	0/2.2719	5814.2/279.61/1705.7	1.136	1705.7	9.6421	2.5809	2.3474	1112.5	1	0	0	0	True
THRA_10954	THRA	0/0.75731	868.39/1082/0	0.37866	868.39	9.3006	0.28676	0.61071	1110.7	1	0	0	0	True
FGF2_3658	FGF2	0/0.75731	864.83/4766.6/18.373	0.37866	864.83	9.2947	0.28676	0.61071	1106.2	1	0	0	0	True
SERPINB2_9807	SERPINB2	0/0	3591/863.6/27.56	0.37866	863.6	9.2926	0	0.61071	1104.6	1	0	0	0	True
CCNB1_1890	CCNB1	0/0	348.78/3045.2/860.48	0.37866	860.48	9.2874	0	0.61071	1100.6	1	0	0	0	True
AR_792	AR	0/0.75731	852.97/2534/7.1452	0.37866	852.97	9.2748	0.28676	0.61071	1091	1	0	0	0	True
CD3G_2024	CD3G	0/0.75731	851.79/1147.6/323.57	0.37866	851.79	9.2728	0.28676	0.61071	1089.5	1	0	0	0	True
SETMAR_9932	SETMAR	0/0	5015.8/834.47/235.79	0.37866	834.47	9.2432	0	0.61071	1067.3	1	0	0	0	True
CTRL0042_2680	CTRL0042	0/0	819.75/412.14/8781.4	0.37866	819.75	9.2175	0	0.61071	1048.5	1	0	0	0	True
MAVS_6676	MAVS	0/0.75731	864.83/0/818.63	0.37866	818.63	9.2156	0.28676	0.61071	1047.1	1	0	0	0	True
CES1_2226	CES1	0/0	16154/190.78/817.61	0.37866	817.61	9.2138	0	0.61071	1045.7	1	0	0	0	True
SOAT1_10399	SOAT1	0/0.75731	899.24/805.35/0	0.37866	805.35	9.192	0.28676	0.61071	1030.1	1	0	0	0	True
CCKAR_1860	CCKAR	0/1.5146	852.97/1711.2/1218.8	0.75731	1218.8	9.439	1.147	1.4156	1023.7	1	0	0	0	True
HPRT1_4787	HPRT1	0/0.75731	1479.4/5.8253/797.2	0.37866	797.2	9.1773	0.28676	0.61071	1019.6	1	0	0	0	True
TARBP1_10761	TARBP1	0/0.75731	0/2298.1/796.17	0.37866	796.17	9.1755	0.28676	0.61071	1018.3	1	0	0	0	True
ABCC8_145	ABCC8	0/0	4.7453/1313.6/791.07	0.37866	791.07	9.1662	0	0.61071	1011.8	1	0	0	0	True
EZH1_3357	EZH1	0/1.5146	4440.4/16.02/1201.4	0.75731	1201.4	9.4183	1.147	1.4156	1009.1	1	0	0	0	True
CSF2RA_2559	CSF2RA	0/2.2719	3592.2/8.738/1542.3	1.136	1542.3	9.4969	2.5809	2.3474	1005.9	1	0	0	0	True
RXRB_9541	RXRB	0/12.117	4623.1/50540/237.83	6.0585	4623.1	9.3556	73.411	21.084	1005.5	1	0	0	0	True
C3_1460	C3	0/0	0/4631.1/785.97	0.37866	785.97	9.1569	0	0.61071	1005.3	1	0	0	0	True
KIAA1456_6187	KIAA1456	0/0	943.13/1.4563/776.78	0.37866	776.78	9.14	0	0.61071	993.5	1	0	0	0	True
ADRA2C_369	ADRA2C	0/17.418	81.857/5838.4/8446.6	8.7091	5838.4	9.2323	151.7	34.646	990.42	1	0	0	0	True
HSD3B2_4837	HSD3B2	0/0	771.11/2451/9.1866	0.37866	771.11	9.1294	0	0.61071	986.25	1	0	0	0	True
HMGA2_4712	HMGA2	0/0	764/5602.5/114.32	0.37866	764	9.116	0	0.61071	977.14	1	0	0	0	True
USP3_11887	USP3	0/2.2719	8092/640.78/1491.3	1.136	1491.3	9.4484	2.5809	2.3474	972.62	1	0	0	0	True
LEO1_6365	LEO1	10.254/0	329.8/14578/3992.1	5.1271	3992.1	9.3481	52.573	16.816	972.25	1	0	0	0	True
LDB1_6339	LDB1	0/0	148.29/980.11/759.43	0.37866	759.43	9.1074	0	0.61071	971.3	1	0	0	0	True
MMP10_6946	MMP10	0/0.75731	7377.8/59.709/757.39	0.37866	757.39	9.1035	0.28676	0.61071	968.68	1	0	0	0	True
KIAA1456_6163	KIAA1456	0/0	755.69/4.369/881.92	0.37866	755.69	9.1003	0	0.61071	966.52	1	0	0	0	True
CCR5_1908	CCR5	0.85451/0.75731	1195.8/292.72/8540.5	0.80591	1195.8	9.3723	0.0047234	1.5287	966.51	1	0	0	0	True
SUV39H1_10551	SUV39H1	0/0.75731	750.95/2146.6/502.2	0.37866	750.95	9.0912	0.28676	0.61071	960.44	1	0	0	0	True
TRIM16_11182	TRIM16	0/1.5146	1129.4/11670/11.228	0.75731	1129.4	9.3292	1.147	1.4156	948.6	1	0	0	0	True
UBE2B_11751	UBE2B	0/0	736.71/735.44/12.249	0.37866	735.44	9.0612	0	0.61071	940.61	1	0	0	0	True
AR_810	AR	0/0.75731	29.658/994.67/732.89	0.37866	732.89	9.0562	0.28676	0.61071	937.34	1	0	0	0	True
CD4_2041	CD4	0/1.5146	2255.2/1115.5/1112.6	0.75731	1115.5	9.3115	1.147	1.4156	936.97	1	0	0	0	True
PHC1_8218	PHC1	0/0	731.97/2587.9/1.0207	0.37866	731.97	9.0543	0	0.61071	936.15	1	0	0	0	True
FTO_3810	FTO	0/2.2719	556.39/1428.7/1914.9	1.136	1428.7	9.3866	2.5809	2.3474	931.73	1	0	0	0	True
PRMT6_8776	PRMT6	0/0.75731	727.22/809.72/421.56	0.37866	727.22	9.045	0.28676	0.61071	930.08	1	0	0	0	True
YTHDF1_12345	YTHDF1	0/0	718.92/722.34/64.306	0.37866	718.92	9.0284	0	0.61071	919.46	1	0	0	0	True
SCNN1D_9769	SCNN1D	0/0	2014.4/16.02/717.58	0.37866	717.58	9.0257	0	0.61071	917.74	1	0	0	0	True
FCGR2A_3564	FCGR2A	0/0	2623/225.73/716.56	0.37866	716.56	9.0237	0	0.61071	916.44	1	0	0	0	True
MRGBP_7205	MRGBP	0/0.75731	957.37/715.06/15.311	0.37866	715.06	9.0207	0.28676	0.61071	914.52	1	0	0	0	True
WBSCR22_12081	WBSCR22	0/0.75731	860.09/104.86/714.52	0.37866	714.52	9.0196	0.28676	0.61071	913.82	1	0	0	0	True
PDCD1_7998	PDCD1	0/0.75731	714.17/139.81/969.7	0.37866	714.17	9.0189	0.28676	0.61071	913.38	1	0	0	0	True
TACR1_10630	TACR1	0.85451/12.117	11653/352.43/4386.1	6.4858	4386.1	9.1949	63.422	23.134	910.57	1	0	0	0	True
AAVS0005_5	AAVS	0/1.5146	409.28/2484.5/1081	0.75731	1081	9.2661	1.147	1.4156	907.9	1	0	0	0	True
KMT2C_6244	KMT2C	0/1.5146	1079.6/3227.2/973.78	0.75731	1079.6	9.2642	1.147	1.4156	906.72	1	0	0	0	True
USP50_11912	USP50	0/0.75731	901.61/573.79/705.33	0.37866	705.33	9.0009	0.28676	0.61071	902.07	1	0	0	0	True
COPRS_2483	COPRS	0/0	97.279/704.86/1112.6	0.37866	704.86	9	0	0.61071	901.47	1	0	0	0	True
PRDX5_8624	PRDX5	0/0	704.68/8.738/901.31	0.37866	704.68	8.9996	0	0.61071	901.24	1	0	0	0	True
PSMB10_8868	PSMB10	0/0	786.54/99.03/704.31	0.37866	704.31	8.9988	0	0.61071	900.76	1	0	0	0	True
SLC12A1_10083	SLC12A1	0/0.75731	2235/703.41/370.53	0.37866	703.41	8.997	0.28676	0.61071	899.61	1	0	0	0	True
IFIH1_4994	IFIH1	0/2.2719	657.23/1374.8/8854.9	1.136	1374.8	9.3311	2.5809	2.3474	896.56	1	0	0	0	True
AR_807	AR	0/0	21.354/1725.7/698.18	0.37866	698.18	8.9863	0	0.61071	892.93	1	0	0	0	True
LacZ:1749-1768_LacZ_+_6303	LacZ:1749-1768_LacZ_+	0/0	691.63/553.4/5710	0.37866	691.63	8.9727	0	0.61071	884.54	1	0	0	0	True
KMT2E_6266	KMT2E	0/0	2773.6/688.84/42.871	0.37866	688.84	8.9669	0	0.61071	880.97	1	0	0	0	True
CD3G_2028	CD3G	0/0	3510.4/203.89/687.98	0.37866	687.98	8.965	0	0.61071	879.86	1	0	0	0	True
KDM3A_5982	KDM3A	0/0	679.77/681.56/0	0.37866	679.77	8.9478	0	0.61071	869.36	1	0	0	0	True
CTRL0031_2669	CTRL0031	0/0.75731	374.88/674.28/1244.3	0.37866	674.28	8.9361	0.28676	0.61071	862.34	1	0	0	0	True
NCOA1_7410	NCOA1	0/1.5146	1658.5/2.9127/1025.8	0.75731	1025.8	9.1906	1.147	1.4156	861.57	1	0	0	0	True
GABRA2_3949	GABRA2	0/1.5146	1025/115.05/4543.3	0.75731	1025	9.1894	1.147	1.4156	860.86	1	0	0	0	True
UHRF1_11809	UHRF1	0/0.75731	1.1863/2455.4/672.67	0.37866	672.67	8.9326	0.28676	0.61071	860.27	1	0	0	0	True
