sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
CACNA1F_1651	CACNA1F	0	16	521	287	28	9	0	1	692
YTHDC2_12316	YTHDC2	0	3	695	413	704	305	4	0	1
ARRB1_864	ARRB1	0	20	561	711	0	0	0	0	0
GLRB_4272	GLRB	0	13	1160	1025	125	526	227	0	67
HMMR_4730	HMMR	0	29	1086	1358	25	22	16894	37	4595
RPL5_9390	RPL5	0	29	61	22	0	0	0	0	1
SUDS3_10524	SUDS3	0	15	564	441	56	4	0	0	31
MS4A1_7232	MS4A1	0	41	1009	676	117	75	2202	3	1858
LIPF_6395	LIPF	0	27	1801	1249	93	35	249	3816	141
HBB_4492	HBB	0	18	736	531	1	34	35	7	0
MAVS_6672	MAVS	0	1	1008	605	82	16	15	0	737
ADH1B_247	ADH1B	0	12	1192	195	6	0	11	9744	1
ATXN3L_983	ATXN3L	0	31	858	965	328	13	389	2370	43
MMP21_7052	MMP21	0	1	147	160	0	0	0	8	1
FCGR2A_3569	FCGR2A	0	26	602	539	11	3	1	19	246
ATIC_920	ATIC	0	20	1043	338	514	21	28	0	2378
HTR2A_4898	HTR2A	0	36	356	340	23	9	64	3	0
RRM1_9451	RRM1	0	21	266	133	3	21	0	0	2
TRMT2B_11375	TRMT2B	0	24	1311	1223	12	8	1138	151	47
HTR3A_4931	HTR3A	0	23	264	93	15	63	77	1	1768
CPS1_2500	CPS1	0	18	743	571	11	7	131	0	71
RAG1_9056	RAG1	0	58	987	552	878	4	0	38	3
NSUN5P2_7727	NSUN5P2	0	2	14	47	1	0	0	0	0
MAP2K1_6496	MAP2K1	0	48	1591	216	180	12	1496	3	3021
MTR_7337	MTR	0	16	1032	758	174	5	0	112	1211
BRPF1_1362	BRPF1	0	2	692	568	0	4	0	1	0
BCL2_1115	BCL2	0	20	601	423	0	0	961	1	91
HDAC6_4620	HDAC6	0	27	309	301	0	0	18	115	16
OPRK1_7823	OPRK1	0	13	520	225	0	7	182	1	1
STAT3_10511	STAT3	0	26	159	311	0	0	0	1	0
TOP2B_11119	TOP2B	0	16	552	678	9	4149	1501	1	1
MGC16025_6898	MGC16025	0	2	923	413	464	77	67	66	16
BRD4_1263	BRD4	0	25	1511	1001	677	73	167	286	2355
TRPV3_11543	TRPV3	0	18	1076	693	1429	0	110	10	2
GABRB2_4010	GABRB2	0	36	822	817	1524	350	1275	2741	5
POLB_8413	POLB	0	23	750	225	1	0	596	4	0
ADH1B_245	ADH1B	0	29	796	601	12	15	26	74	9
FGF2_3660	FGF2	0	22	446	252	158	16	29	0	19
ESRRG_3299	ESRRG	0	26	516	236	184	31	1539	6	8
METTL1_6823	METTL1	0	23	807	418	2	1	11	32	0
AAVS0001_1	AAVS	0	19	1238	781	4	2584	104	259	1
AR_703	AR	0	29	1083	565	3	22	3	1727	1
TARBP1_10758	TARBP1	0	1	867	288	73	29	0	173	11
SMYD2_10360	SMYD2	0	9	225	208	112	0	0	0	14
NFKB1_7456	NFKB1	0	28	1609	720	29	0	11	135	13
CES1_2222	CES1	0	37	1855	831	14	4257	11	7734	20
MORF4L1_7157	MORF4L1	0	44	843	959	1424	53	16	41	0
TBL1X_10783	TBL1X	0	26	1463	1167	2363	30	2	3	6039
VDR_11972	VDR	0	2	1028	279	58	4	0	1	2
MMP24_7074	MMP24	0	6	279	409	57	7	1230	4	0
SMO_10320	SMO	0	7	166	1	0	0	0	0	31
GNRHR_4281	GNRHR	0	33	918	643	22230	16	314	27	3
SLC22A8_10170	SLC22A8	0	2	292	82	0	0	0	0	0
NSUN4_7650	NSUN4	0	33	807	127	115	2	154	0	86
GABRB3_4026	GABRB3	0	17	1395	1505	292	1337	179	9	17
WBSCR22_12078	WBSCR22	0	1	484	207	3	6	0	19	0
SIRT6_10047	SIRT6	0	29	365	584	0	2	0	0	4
ANXA1_657	ANXA1	0	1	1346	846	0	52	1395	3111	0
FTO_3816	FTO	0	27	440	347	0	2	0	104	392
TEK_10844	TEK	0	37	1604	618	22	164	15	0	3
TFB1M_10888	TFB1M	0	1	595	444	86	69	8	2	9
IRF7_5261	IRF7	0	1	796	511	0	9	0	0	34
RRM2_9461	RRM2	0	22	1191	287	5	13	29	0	26
IRF4_5248	IRF4	0	1	891	508	27	97	0	0	1
CHRM4_2301	CHRM4	0	2	241	510	0	0	106	3	0
NAA60_7393	NAA60	0	23	571	736	13	0	39	0	0
AURKA_1005	AURKA	0	47	207	1	0	10	0	0	0
ABCC1_127	ABCC1	0	46	606	591	36	139	1	144	33
NCOA1_7409	NCOA1	0	40	686	755	105	0	0	147	2
POLE3_8442	POLE3	0	15	701	181	0	23	51	0	75
CBX8_1834	CBX8	0	19	457	244	11	221	15	0	0
HCRTR1_4530	HCRTR1	0	30	581	165	0	1	0	0	0
VPRBP_12021	VPRBP	0	39	148	73	0	0	0	1	0
FTO_3839	FTO	0	12	607	265	0	0	0	0	0
TRMT61A_11495	TRMT61A	0	2	672	202	0	0	4	54	0
TLR9_11028	TLR9	0	26	224	99	5	0	0	1	5
IL2RG_5141	IL2RG	0	13	338	335	4	10	0	1	0
NSUN4_7671	NSUN4	0	51	1402	796	434	29	267	741	1
TGS1_10921	TGS1	0	1	871	605	507	25	15	0	2468
TRMT61B_11501	TRMT61B	0	10	1074	455	15	0	4	0	1
LCK_6337	LCK	0	1	571	301	293	256	0	0	2
ADH1C_258	ADH1C	0	2	943	563	786	9	4657	5610	1
AURKC_1027	AURKC	0	36	706	390	129	45	71	0	1
SCN1A_9644	SCN1A	0	17	1157	338	13	866	74	79	234
GRIA1_4308	GRIA1	0	34	892	618	12	421	167	1	1
MMP12_6961	MMP12	0	7	1056	448	0	0	26	11	45
luciferase:1410-1429_luciferase_+_6436	luciferase:1410-1429_luciferase_+	0	41	388	391	2	11636	5	37	49
AR_793	AR	0	2	349	471	274	2	1139	70	3
CACNA1F_1650	CACNA1F	0	14	1185	766	11	1	366	0	20
C9orf114_1540	C9orf114	0	2	250	208	12	2	0	0	2
IFNAR1_5017	IFNAR1	0	9	1002	519	294	44	637	12	7
GHRHR_4211	GHRHR	0	29	312	430	14	0	0	0	0
ATXN7L3_1003	ATXN7L3	0	37	888	302	1907	1	0	1	0
NSUN2_7612	NSUN2	0	2	1246	1059	81	291	478	3	131
SCN3B_9695	SCN3B	0	27	1541	889	41	25	13	825	1
KDM4B_6000	KDM4B	0	17	750	519	41	0	0	0	132
FTO_3833	FTO	0	25	282	500	245	80	2792	3	0
TRIM16_11179	TRIM16	0	28	416	243	0	0	110	0	0
MMP14_6985	MMP14	0	41	640	396	8	18	128	0	0
SMARCAD1_10311	SMARCAD1	0	42	652	868	0	9	232	0	24
KDM1A_5863	KDM1A	0	40	1126	492	18	238	33	156	0
SETD7_9891	SETD7	0	33	579	473	471	17	12	0	263
PRMT5_8737	PRMT5	0	4	570	2	1	26	0	62	0
SMYD2_10363	SMYD2	0	18	978	635	0	24	1	0	6
CACNB4_1750	CACNB4	0	21	221	141	0	3	1	0	0
MMP24_7069	MMP24	0	31	162	58	0	0	2	14	1
GABRD_4029	GABRD	0	2	739	804	0	0	0	0	3
TUBB1_11611	TUBB1	0	20	289	175	6	1	0	0	0
RPL5_9386	RPL5	0	11	318	88	0	5	641	1	0
TNFSF11_11066	TNFSF11	0	33	1019	657	18	0	0	47	2
RNF2_9239	RNF2	0	25	1329	701	138	20	512	0	1
SUV420H1_10571	SUV420H1	0	2	684	863	546	0	0	0	0
KDM2A_5950	KDM2A	0	17	966	464	0	160	505	1	5
METTL4_6877	METTL4	0	65	803	830	2621	0	378	327	0
ELP3_3175	ELP3	0	1	666	246	93	0	0	79	0
SCN2A_9662	SCN2A	0	29	1246	1313	1479	233	560	176	5015
KCNC1_5631	KCNC1	0	1	795	392	24	0	154	6	4
APEX1_685	APEX1	0	46	843	902	3082	9	73	0	2131
GRIN2A_4337	GRIN2A	0	2	798	370	0	0	14	13	417
FTSJ3_3878	FTSJ3	0	13	366	402	9	0	0	98	0
SCN1A_9646	SCN1A	0	29	706	883	15	186	10	668	1
TRMT10C_11271	TRMT10C	0	29	991	408	38	0	2	0	8
TPK1_11140	TPK1	0	25	401	254	48	1	0	0	7
IL2RG_5140	IL2RG	0	1	1070	528	180	3	0	0	50
NCOA1_7408	NCOA1	0	2	756	400	3	107	8	1885	1
METTL3_6855	METTL3	0	29	585	121	91	12	1	6	230
AR_717	AR	0	31	1024	751	6	16	23	0	706
PPARA_8481	PPARA	0	9	743	477	210	12	359	1	1
USP3_11882	USP3	0	101	2222	1012	22	36	0	0	114
HENMT1_4674	HENMT1	0	7	1230	366	7	13	0	0	200
COMT_2470	COMT	0	15	1297	305	267	20	362	1	51
CXXC1_2764	CXXC1	0	1	1303	480	117	82	1	213	1
GGCX_4186	GGCX	0	19	953	410	2130	4	0	0	1
NPR2_7552	NPR2	0	21	1063	788	7	259	870	3	2
CACNA1D_1637	CACNA1D	0	32	997	746	2	0	188	89	1
YTHDC2_12320	YTHDC2	0	46	500	172	1864	0	129	1	2
NTSR2_7765	NTSR2	0	40	3110	1907	450	26	758	11	95
UTY_11940	UTY	0	4	983	906	20	0	7	2310	31
YTHDC2_12283	YTHDC2	0	32	445	416	69	0	10	1	12
MAVS_6622	MAVS	0	3	424	488	182	6	179	41	8
FTSJ3_3887	FTSJ3	0	13	1170	329	31	8958	127	5	11
FCGR2B_3581	FCGR2B	0	34	1309	600	81	0	62	0	32
EZH1_3356	EZH1	0	32	1829	1132	846	4	510	5	10
HRH3_4817	HRH3	0	16	974	461	2	26	0	0	1
NOP2_7492	NOP2	0	28	2331	320	127	605	66	30	31668
GABRG1_4052	GABRG1	0	1	1064	548	279	1612	363	41	31
GRIN2B_4341	GRIN2B	0	1	594	176	0	3	0	0	0
GRIN3B_4385	GRIN3B	0	2	400	188	114	2	0	0	0
FKBP1A_3705	FKBP1A	0	43	1356	581	16	19	17	220	21
CACNA1B_1616	CACNA1B	0	27	1834	878	108	399	154	10	216
SIRT7_10051	SIRT7	0	1	370	354	0	0	0	0	11
PLK1_8369	PLK1	0	13	355	109	40	598	0	0	61
SETD7_9892	SETD7	0	37	788	354	0	1	1	0	0
NEK11_7438	NEK11	0	19	1074	540	182	38	25	0	2
GABRA2_3955	GABRA2	0	16	1001	678	30	5	24	4	62
TLR2_11012	TLR2	0	2	519	538	0	2	0	1	0
KDM7A_6083	KDM7A	0	45	734	535	951	44	174	2	52
CA4_1585	CA4	0	12	2730	2091	539	257	149	57	185
TRMT1_11203	TRMT1	0	25	462	4	0	0	0	0	2
HIST1H4A_4687	HIST1H4A	0	10	1374	1261	7	904	0	1	19
MORF4L2_7176	MORF4L2	0	2	552	292	133	4	0	97	4
CARM1_1799	CARM1	0	15	432	249	0	0	0	0	49
HRH1_4796	HRH1	0	37	1066	299	0	5	0	0	510
IDE_4985	IDE	0	23	277	388	146	1	14	1	0
WDR92_12144	WDR92	0	7	619	123	24	0	1	0	0
ANO1_649	ANO1	0	31	960	603	32	3	1	0	198
C10orf54_1425	C10orf54	0	18	436	241	32	1	5	65	1
GSG2_4406	GSG2	0	53	1466	1283	4	3	275	11	64
SCN2A_9663	SCN2A	0	32	326	131	1	1	591	0	3
TET2_10857	TET2	0	38	229	111	25	10	10	1	0
TAF12_10698	TAF12	0	9	254	48	0	0	0	0	19
TRMT2B_11396	TRMT2B	0	4	385	526	134	0	31	8	1
NSUN2_7624	NSUN2	0	6	522	275	2	5168	1	0	1
TLR9_11036	TLR9	0	19	1218	526	80	28	3	0	73
TYW3_11713	TYW3	0	35	904	559	1	35	83	1	0
GANAB_4144	GANAB	0	35	631	336	15	10	22	9	2
ITGAV_5306	ITGAV	0	3	1437	1288	0	706	3	2	1
CDK4_2129	CDK4	0	25	182	102	0	0	6	1	0
UBE2U_11780	UBE2U	0	17	2956	1668	1667	687	817	639	12
TADA2A_10648	TADA2A	0	1	585	526	0	0	0	0	11
TUBB3_11630	TUBB3	0	16	381	138	0	0	0	0	1
TRPM8_11528	TRPM8	0	33	1107	304	1	0	88	1	5
DPP4_2955	DPP4	0	6	959	421	89	0	7	0	450
PRDX5_8630	PRDX5	0	2	204	413	0	0	0	0	1
CHD1_2239	CHD1	0	7	877	577	27	13	0	1	23
KCNB2_5626	KCNB2	0	31	500	612	6	0	2	51	1
FTH1_3788	FTH1	0	1	42	2	83	4	0	0	0
TRMT12_11310	TRMT12	0	24	768	392	44	1	0	0	19
DCK_2842	DCK	0	18	890	547	2533	778	8	0	18
CACNG1_1757	CACNG1	0	35	805	643	2	2	1	0	103
GRIN1_4321	GRIN1	0	11	895	531	0	368	145	1	3
TUBB_11603	TUBB	0	28	308	5	0	2	0	0	190
WHSC1L1_12155	WHSC1L1	0	50	1175	214	3	6	1036	3	12
FCGR2A_3566	FCGR2A	0	3	1091	1010	658	1134	32	48	7
CASR_1815	CASR	0	2	1273	896	730	205	70	1	25
MBIP_6698	MBIP	0	13	725	177	0	0	28	0	2
THUMPD3_11002	THUMPD3	0	22	2111	1744	1485	25	1442	979	443
IDE_4990	IDE	0	17	1148	587	0	61	42	0	380
TRDMT1_11176	TRDMT1	0	28	279	161	27	6	0	0	0
TLR7_11019	TLR7	0	19	511	410	12	0	3	794	1035
USP16_11842	USP16	0	1	428	323	274	203	208	20	2
METTL1_6822	METTL1	0	2	1568	270	70	3	2	0	2
CD274_1966	CD274	0	12	843	358	5147	2	15	187	19
HNRNPA2B1_4743	HNRNPA2B1	0	2	763	253	6	18	0	1	1
HBB_4499	HBB	0	11	733	859	44	12	0	1	56
ARID4B_846	ARID4B	0	24	921	261	426	170	288	5445	2
RUVBL2_9525	RUVBL2	0	16	439	67	0	1099	1	3	1
FTO_3811	FTO	0	20	705	592	67	0	0	0	45
CACNB2_1726	CACNB2	0	22	323	44	0	0	0	45	0
GABRA4_3976	GABRA4	0	30	2816	1657	103	9779	0	175	192
PCGF1_7970	PCGF1	0	44	1406	630	44	384	58	0	20
CACNA1G_1653	CACNA1G	0	11	200	153	0	0	0	35	0
C9orf114_1538	C9orf114	0	27	273	128	1	0	7	0	17
BCHE_1105	BCHE	0	32	935	396	618	297	10	0	9
GCGR_4169	GCGR	0	10	996	817	7	715	215	1	1
AR_769	AR	0	24	466	347	611	2	1105	3	27
ONECUT2_7797	ONECUT2	0	25	667	168	162	194	448	1	238
SRD5A2_10458	SRD5A2	0	3	1018	1007	104	101	11	983	7
ATXN7L3_995	ATXN7L3	0	10	1048	1140	69	22	0	0	2
THUMPD3_11003	THUMPD3	0	13	1158	925	634	47	477	1	21
TRMT10A_11219	TRMT10A	0	34	1691	1208	157	567	154	1	13
ADRA1A_314	ADRA1A	0	2	573	497	46	0	62	142	23
MAP2_6487	MAP2	0	51	1438	898	36	528	63	5321	278
SCN1B_9651	SCN1B	0	2	535	320	16	50	30	0	1587
CYSLTR2_2826	CYSLTR2	0	28	395	139	12	21	363	3775	389
POLR1C_8463	POLR1C	0	2	191	0	0	0	0	0	3
CACNA1C_1630	CACNA1C	0	20	437	246	0	674	0	48	0
SIN3B_9992	SIN3B	0	21	423	33	0	21	18	0	55
NOP2_7495	NOP2	0	18	317	72	2	0	0	1	0
BEND3_1156	BEND3	0	2	2235	1074	8	0	0	0	0
ABCC2_137	ABCC2	0	15	1325	741	69	59	38	0	3
SATB1_9616	SATB1	0	19	1009	932	622	0	40	63	334
SIRT1_10002	SIRT1	0	20	378	164	0	0	12	0	3
NSUN6_7735	NSUN6	0	7	1319	1160	315	3	3862	4088	12
RET_9193	RET	0	20	1405	279	5	4	39	12	1
CACNB1_1719	CACNB1	0	15	146	276	1	4	28	0	1
RBBP5_9124	RBBP5	0	29	593	792	28	10	18997	32	3
YTHDC1_12254	YTHDC1	0	2	95	111	121	0	7	0	111
CD86_2085	CD86	0	17	869	669	19	0	7	13	72
GNRHR_4285	GNRHR	0	18	614	578	7	5	29	0	0
PRMT1_8710	PRMT1	0	1	1033	172	83	1	442	0	0
MSL3_7268	MSL3	0	23	432	458	3	9	35	0	0
SERPINE1_9838	SERPINE1	0	31	1290	740	111	36	89	2	1648
MMP2_7033	MMP2	0	45	882	143	0	0	0	0	88
TYW3_11711	TYW3	0	1	1736	1467	313	309	50	1105	51
CCND1_1894	CCND1	0	2	490	169	13	0	0	0	0
MCRS1_6713	MCRS1	0	29	1077	669	622	4	0	263	7
RUVBL1_9518	RUVBL1	0	3	373	255	0	0	80	41	0
DNMT1_2924	DNMT1	0	40	786	407	450	9	165	201	10
CD52_2060	CD52	0	28	272	246	0	122	0	0	0
YTHDF3_12447	YTHDF3	0	21	280	68	12	1	1911	5	165
MSL1_7248	MSL1	0	33	645	285	0	3503	0	1	1
TRIM16_11180	TRIM16	0	16	804	320	406	0	13	7	1
ALKBH5_550	ALKBH5	0	10	788	415	190	0	646	15	1
AURKA_1013	AURKA	0	20	551	332	1	99	0	0	0
NISCH_7459	NISCH	0	1	555	638	60	10	7	0	1
RPL5_9388	RPL5	0	20	478	105	3	0	52	0	1
TADA3_10667	TADA3	0	30	606	401	0	1	1899	6	0
PADI4_7892	PADI4	0	35	902	212	12	74	77	11	0
TRMT1L_11319	TRMT1L	0	28	1561	955	0	169	6	29	39
TRMT2B_11376	TRMT2B	0	1	193	255	14	31	84	1	266
RC3H1_9144	RC3H1	0	14	1008	574	38	28	8044	16	1
YTHDF2_12359	YTHDF2	0	25	763	725	78	18	0	90	360
SETDB2_9922	SETDB2	0	2	1348	1235	1858	9	30	72	4
AKR1D1_429	AKR1D1	0	14	1300	433	17	32	60	0	1735
WDR82_12133	WDR82	0	19	429	0	5	3	8	12	25
CAT_1831	CAT	0	24	1055	745	237	383	61	0	1724
SALL1_9595	SALL1	0	12	843	429	9	1	47	42	0
HBA1_4480	HBA1	0	21	732	657	5	93	1	286	3
MRM1_7225	MRM1	0	1	310	77	61	0	1	9	1
CDK4_2128	CDK4	0	24	791	340	5	0	81	0	2
MAP2K2_6506	MAP2K2	0	23	363	307	25	0	0	0	45
MTR_7334	MTR	0	18	921	729	0	181	40	0	2
HTR7_4953	HTR7	0	4	1049	506	0	30	478	7	1160
GABRG2_4065	GABRG2	0	29	1024	767	0	21	0	0	2
KCNC1_5630	KCNC1	0	1	1033	1154	0	24	15	1	0
TPK1_11138	TPK1	0	2	900	301	284	1	44	0	10
SLC25A5_10194	SLC25A5	0	25	482	140	0	0	0	0	0
PLK1_8370	PLK1	0	19	259	238	21	4	9	0	0
TRMT10B_11243	TRMT10B	0	5	1332	512	889	2	1438	3	531
DDB2_2865	DDB2	0	21	289	645	3	5	13	3	2
ESRRG_3293	ESRRG	0	28	587	420	5	38	580	211	102
ADRA2C_369	ADRA2C	0	23	4823	3243	69	4009	8275	32	895
MAPK1_6548	MAPK1	0	20	477	167	18	0	418	2	0
TFPI_10906	TFPI	0	27	1215	463	16	49	9	685	35
EED_3081	EED	0	21	1053	277	0	0	81	556	36
BRCC3_1230	BRCC3	0	12	1434	1270	2068	78	0	23	5
ADH1B_244	ADH1B	0	24	457	508	16	151	87	0	5
SQLE_10418	SQLE	0	12	634	124	9	8	0	0	32
SLC5A2_10229	SLC5A2	0	3	89	44	0	3	0	0	0
KCNA6_5595	KCNA6	0	28	457	539	6	0	1	874	0
FCGR2B_3582	FCGR2B	0	19	536	381	0	1	8	6063	100
KDM2A_5940	KDM2A	0	1	739	476	9	222	0	103	11
POLR1C_8459	POLR1C	0	23	480	193	0	17	9	0	1
CACNA1A_1612	CACNA1A	0	2	990	311	65	0	338	64	26
TYW3_11727	TYW3	0	56	1276	542	25	149	605	1	1750
LPL_6412	LPL	0	25	1041	730	853	1176	8	4	506
USP15_11829	USP15	0	33	780	521	54	24	37	2	20766
USP15_11833	USP15	0	10	329	125	0	0	0	1	0
AURKC_1029	AURKC	0	2	919	449	33	42	20	0	0
CTCFL_2618	CTCFL	0	2	477	239	1221	1	0	0	67
BRMS1_1351	BRMS1	0	3	177	367	0	0	0	0	0
PCSK9_7989	PCSK9	0	12	1265	692	0	25	174	0	2
MEPCE_6785	MEPCE	0	20	760	376	130	173	1	34	21
POLE4_8451	POLE4	0	30	90	116	4	20	0	4	0
RING1_9221	RING1	0	51	669	325	17	0	0	42	2
ALDH2_450	ALDH2	0	34	1748	1425	184	50	332	0	155
F7_3449	F7	0	9	962	589	20	1	8	3314	0
PRDM4_8571	PRDM4	0	13	588	529	6	15	79	161	40
AAVS0033_33	AAVS	0	6	516	158	274	1	717	14	3
LEO1_6359	LEO1	0	10	423	93	0	3	2919	29	0
NSD1_7592	NSD1	0	2	904	529	29	0	19	0	0
ADORA3_310	ADORA3	0	37	694	535	1427	17	112	0	1
IFNGR1_5043	IFNGR1	0	17	962	375	0	18	17815	40	59
CD3G_2030	CD3G	0	27	1118	608	7	618	21	25	155
KCNA6_5594	KCNA6	0	26	460	375	3	2	0	0	0
DRD5_3026	DRD5	0	2	1337	740	138	1	8	56	16
KDM2A_5919	KDM2A	0	17	714	190	0	0	0	0	0
BRD4_1275	BRD4	0	4	1443	837	841	118	0	312	203
TOP1_11092	TOP1	0	9	1235	177	308	3	139	0	2
MAP2K2_6511	MAP2K2	0	23	1000	944	52	18	2	1194	57
SCNN1G_9773	SCNN1G	0	12	556	93	3	4	0	0	1
FCGR3B_3609	FCGR3B	0	26	991	763	111	363	7466	83	12
UBE2N_11773	UBE2N	0	25	526	241	2	47	0	1	13
TFB1M_10879	TFB1M	0	27	1210	772	30	1	4	0	0
IL1B_5103	IL1B	0	19	1618	1652	856	140	359	9110	6530
KDM4A_5994	KDM4A	0	16	1203	632	5	0	21	0	1
CD80_2064	CD80	0	8	438	288	0	1	16	0	9
OPRM1_7832	OPRM1	0	37	287	535	18	0	102	316	3
CPT2_2525	CPT2	0	1	464	343	0	0	827	19	0
PRMT2_8718	PRMT2	0	45	426	552	203	1	109	0	98
ATXN7_990	ATXN7	0	1	463	279	46	699	0	1	13
MTA2_7295	MTA2	0	25	430	405	3279	4	0	110	34
THUMPD2_10972	THUMPD2	0	2	1575	767	1743	47	159	42	0
TFB2M_10900	TFB2M	0	9	605	249	0	0	0	52	0
MEAF6_6723	MEAF6	0	18	1082	612	53	259	269	0	13
ALKBH7_581	ALKBH7	0	21	572	240	3	8	1	0	0
HNRNPA2B1_4738	HNRNPA2B1	0	2	378	232	0	2	1	579	0
RSAD1_9495	RSAD1	0	3	843	286	0	0	0	0	41
RNMT_9275	RNMT	0	14	541	226	938	0	0	7	1
MMP20_7043	MMP20	0	2	1073	581	41	0	85	4810	337
CLCN2_2436	CLCN2	0	2	268	221	1	14	0	0	0
PSMB9_8906	PSMB9	0	21	819	120	0	245	0	0	0
MAVS_6654	MAVS	0	13	334	307	15	1	0	6	2
TSPO_11572	TSPO	0	23	1482	696	5	391	204	1	0
GUCY1A2_4453	GUCY1A2	0	22	1596	1079	42	75	238	62	3
ABCA1_114	ABCA1	0	13	773	656	132	1	77	1	1
RYBP_9563	RYBP	0	26	1457	515	1376	19	3017	11	38
KAT2A_5462	KAT2A	0	27	832	503	40	6	0	1	8
CHD5_2249	CHD5	0	38	83	229	0	8	0	0	0
MMP14_6977	MMP14	0	18	1068	360	0	0	23	43	0
ITGB1_5315	ITGB1	0	41	345	532	0	0	0	0	0
TRMT10B_11250	TRMT10B	0	23	258	194	10	0	0	0	1
SNAP25_10383	SNAP25	0	2	549	314	24	27	0	0	1
IFIH1_4996	IFIH1	0	31	687	493	94	56	5	1	6
C14orf169_1446	C14orf169	0	17	1332	824	1	0	40	3	14
CD19_1918	CD19	0	2	1868	1100	304	3691	9	64	65
BRMS1_1349	BRMS1	0	13	554	841	511	0	995	1	25
GART_4159	GART	0	25	414	142	25	16	26	0	0
SUPT3H_10526	SUPT3H	0	5	429	329	29	8	0	283	1
LacZ:192-211_LacZ_-_6311	LacZ:192-211_LacZ_-	0	15	1062	338	228	863	2	2	293
KCNN4_5791	KCNN4	0	1	688	283	169	0	1	0	0
GRIN2C_4350	GRIN2C	0	26	340	124	0	13	55	0	2
TRMT11_11278	TRMT11	0	10	873	283	3	29	424	19	5
AVPR2_1064	AVPR2	0	37	1096	583	0	49	2799	4	0
MAPK11_6561	MAPK11	0	29	404	277	33	0	73	1187	14
PRMT6_8759	PRMT6	0	39	784	460	562	44	15	1	581
PAH_7910	PAH	0	15	950	889	129	1	0	18	4
WDR61_12100	WDR61	0	22	805	449	188	20	381	0	0
DHODH_2905	DHODH	0	18	287	156	0	0	0	0	0
PTGS1_9006	PTGS1	0	1	187	131	111	0	1	119	32
EDNRB_3066	EDNRB	0	41	542	247	4	0	56	102	0
TOP1MT_11102	TOP1MT	0	30	33	143	9	0	5	0	16
CDK4_2127	CDK4	0	1	592	154	0	1	0	2	103
WDR75_12122	WDR75	0	37	623	150	13	1	0	1	0
SLC6A8_10276	SLC6A8	0	2	871	271	5	0	0	3	1294
METTL4_6861	METTL4	0	33	838	650	8	51	0	25	2
MTA2_7290	MTA2	0	2	1149	690	88	3	932	370	320
FCGR3B_3607	FCGR3B	0	16	1093	345	2039	4	12	0	1
KLKB1_6208	KLKB1	0	6	1190	542	81	2	174	111	1481
CES1_2223	CES1	0	4	747	211	0	3	153	0	0
RNMT_9309	RNMT	0	3	2245	1312	69	9	72	8628	40
YTHDF2_12391	YTHDF2	0	11	269	319	0	3547	7	13	20
YTHDF2_12382	YTHDF2	0	2	1417	865	126	8	913	16	39
OXTR_7842	OXTR	0	17	545	578	67	4	0	2	1
RAMP2_9077	RAMP2	0	1	2418	1500	1638	1	6	0	59
EZH1_3343	EZH1	0	21	829	572	19	0	0	0	13
TRMT61A_11459	TRMT61A	0	55	1161	61	364	3	19	0	2
C14orf169_1438	C14orf169	0	2	328	559	10	16	0	4	88
OPRM1_7833	OPRM1	0	44	1049	571	96	453	30	11	1948
PARP2_7927	PARP2	0	17	671	498	732	0	80	51	0
KCNJ12_5728	KCNJ12	0	22	570	151	13	8	162	2	0
ALPPL2_633	ALPPL2	0	14	492	368	0	3	0	0	0
PKN1_8252	PKN1	0	1	609	536	91	25	35	0	9
KAT2B_5476	KAT2B	0	3	262	128	30	2	110	0	0
KEAP1_6107	KEAP1	0	3	3365	2743	11452	41	7	17	1235
IGF1R_5058	IGF1R	0	14	1033	412	2607	42	46	1	1
SCN4B_9716	SCN4B	0	2	524	565	8	10	406	1	9
CENPE_2213	CENPE	0	38	399	319	96	48	382	2	37
TRMT112_11283	TRMT112	0	1	172	238	0	251	5	0	212
SRD5A1_10447	SRD5A1	0	31	711	400	450	38	4157	10	0
HNRNPA2B1_4739	HNRNPA2B1	0	23	819	381	0	1	0	0	1
CES1_2220	CES1	0	2	314	184	2010	25	43	0	0
ADRA2B_351	ADRA2B	0	10	445	211	0	5	59	12	1
MAPK3_6566	MAPK3	0	19	309	354	8	0	930	1	53
SAP130_9602	SAP130	0	5	885	231	9	0	0	8	3
ITGA4_5279	ITGA4	0	10	1542	1017	11	12	2	2	26
TFB1M_10887	TFB1M	0	7	1598	752	25	1	43	2	170
MAP3K7_6528	MAP3K7	0	63	1230	939	43	2329	136	21	26
FTH1_3786	FTH1	0	11	411	365	95	0	299	0	0
TYMS_11683	TYMS	0	27	219	51	8	26	0	13	0
KDM8_6094	KDM8	0	15	359	344	0	2	42	0	0
TUBB4B_11639	TUBB4B	0	23	360	390	1	0	0	0	27
YEATS4_12221	YEATS4	0	12	1212	386	3314	4	582	1	1
MORF4L2_7169	MORF4L2	0	29	585	565	13	8	0	1	52
HTR3A_4927	HTR3A	0	15	634	649	0	6	0	29	0
CHRM3_2294	CHRM3	0	18	208	364	0	0	115	2	303
EZH1_3342	EZH1	0	36	260	547	255	3	74	0	1
PDCD1LG2_8006	PDCD1LG2	0	1	833	718	26	4	0	94	0
C10orf54_1392	C10orf54	0	3	246	207	13	5	4957	8	0
